"","State_name","Daily_hospital_Admission","Pop","vac_coverage","no_vac","hos_per1000000","state"
"1","Alabama",18335.57142861,4949697,46.4333235294118,53.5666764705882,3704.3825972802,"AL"
"2","Alaska",1183.714285711,720763,55.4604215686274,44.5395784313726,1642.30722957616,"AK"
"3","Arizona",29268.14285714,7640796,55.3001078431373,44.6998921568627,3830.50965594946,"AZ"
"4","Arkansas",12659.4285714,3042017,49.6775490196078,50.3224509803922,4161.5245974628,"AR"
"5","California",98938.1428571,39664128,64.5625196078431,35.4374803921569,2494.39853706352,"CA"
"6","Colorado",16581.28571427,5961083,64.0660784313725,35.9339215686275,2781.58947195837,"CO"
"7","Connecticut",11726.57142857,3546588,71.7547058823529,28.2452941176471,3306.43746287136,"CT"
"8","Delaware",4106.71428571,998619,62.1358431372549,37.8641568627451,4112.39350113507,"DE"
"9","District of Columbia",3276.142857142,718355,65.17781,34.82219,4560.61815835068,"DC"
"10","Florida",90492,22177997,60.9333431372549,39.0666568627451,4080.26026876999,"FL"
"11","Georgia",37741.5714286,10936299,49.5314803921569,50.4685196078431,3451.03690275842,"GA"
"12","Hawaii",2794.85714285,1401709,67.94344,32.05656,1993.89255747805,"HI"
"13","Idaho",3899.85714286,1896652,47.6029901960784,52.3970098039216,2056.17959586682,"ID"
"14","Illinois",42018,12518071,62.4595294117647,37.5404705882353,3356.58744865723,"IL"
"15","Indiana",26046.85714286,6842385,50.2766862745098,49.7233137254902,3806.69271648117,"IN"
"16","Iowa",9052.1428571,3174426,57.0252254901961,42.9747745098039,2851.58414689774,"IA"
"17","Kansas",10364.57142861,2919179,55.3299684210526,44.6700315789474,3550.50903990814,"KS"
"18","Kentucky",16628,4487233,52.3825,47.6175,3705.62437921097,"KY"
"19","Louisiana",14939.5714286,4616106,48.812862745098,51.187137254902,3236.40129334118,"LA"
"20","Maine",2760.14285715,1359677,72.722931372549,27.277068627451,2029.99893147417,"ME"
"21","Maryland",18521.42857139,6075314,68.1001764705882,31.8998235294118,3048.63725091246,"MD"
"22","Massachusetts",18274,6922107,71.5807549019608,28.4192450980392,2639.94763444136,"MA"
"23","Michigan",32579.1428572,9995212,55.0799117647059,44.9200882352941,3259.4749223128,"MI"
"24","Minnesota",12415,5739781,63.4232843137255,36.5767156862745,2162.97451069997,"MN"
"25","Mississippi",8806.42857147,2961536,47.127931372549,52.872068627451,2973.60172946404,"MS"
"26","Missouri",23432,6184843,51.2401862745098,48.7598137254902,3788.61678461361,"MO"
"27","Montana",3969.71428571,1093117,52.2008333333333,47.7991666666667,3631.55479762002,"MT"
"28","Nebraska",5129.14285714,1960790,57.9194646464646,42.0805353535354,2615.85527116111,"NE"
"29","Nevada",10709.71428572,3238601,54.8152450980392,45.1847549019608,3306.89525684701,"NV"
"30","New Hampshire",3467.714285704,1378449,63.4809901960784,36.5190098039216,2515.66382630333,"NH"
"31","New Jersey",33535.14285713,8870685,68.0933137254902,31.9066862745098,3780.44568791813,"NJ"
"32","New Mexico",6068.71428571,2109093,64.0896078431373,35.9103921568627,2877.40478286638,"NM"
"33","New York",68509.5714284,19223191,69.3230588235294,30.6769411764706,3563.90213406297,"NY"
"34","North Carolina",2289.999999999,10807491,54.3745588235294,45.6254411764706,211.890067731632,"NC"
"35","North Dakota",2289.999999999,774008,50.8321666666667,49.1678333333333,2958.62575063694,"ND"
"36","Ohio",50214,11727377,53.6701470588235,46.3298529411765,4281.77588219429,"OH"
"37","Oklahoma",19484,4007179,51.7884411764706,48.2115588235294,4862.27343475298,"OK"
"38","Oregon",7339.57142853,4325290,63.8307156862745,36.1692843137255,1696.8969545464,"OR"
"39","Pennsylvania",44729.2857143,12805190,61.4958921568627,38.5041078431373,3493.05912011458,"PA"
"40","Rhode Island",2601.285714287,1062583,74.1385490196078,25.8614509803922,2448.07766949688,"RI"
"41","South Carolina",17749.85714285,5342388,51.648431372549,48.351568627451,3322.4575120433,"SC"
"42","South Dakota",3279.28571429,902542,55.2301386138614,44.7698613861386,3633.38848972125,"SD"
"43","Tennessee",21887.2857143,7001803,49.8677156862745,50.1322843137255,3125.94994664946,"TN"
"44","Texas",100356.166667,30097526,55.1631470588235,44.8368529411765,3334.36597635965,"TX"
"45","Utah",8632.14285714,3363182,57.583068627451,42.416931372549,2566.65944844495,"UT"
"46","Vermont",1222.857142872,622882,74.4298823529412,25.5701176470588,1963.22440345362,"VT"
"47","Virginia",23918.5714286,8638218,66.087362745098,33.912637254902,2768.92426523619,"VA"
"48","Washington",13932.28571424,7887965,65.6954705882353,34.3045294117647,1766.27123906356,"WA"
"49","West Virginia",8059.85714285,1755715,53.3032254901961,46.6967745098039,4590.64093138693,"WV"
"50","Wisconsin",20383,5867518,60.0917647058823,39.9082352941177,3473.87089396232,"WI"
"51","Wyoming",1401.571428572,582233,46.8375196078431,53.1624803921569,2407.23460980741,"WY"
